City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
182,zalingei,12.9096,23.4741,298.78,41,96,2.13,SD
183,klyuchi,52.2667,79.1667,277.77,78,93,4.04,RU
184,hanceville,34.0607,-86.7675,286.58,59,100,2.17,US
185,papao,-17.75,-149.55,300.97,94,96,8.48,PF
186,queenstown,-31.8976,26.8753,283.51,80,85,3.32,ZA
187,santiago de cao,-7.9589,-79.2392,292.22,88,49,3.6,PE
188,haiku-pauwela,20.9219,-156.3051,298.17,68,40,6.69,US
189,butembo,0.15,29.2833,289.67,83,58,0.65,CD
190,ritchie,-29.038,24.6028,287.71,42,3,6.81,ZA
191,sorsk,54.0033,90.2467,273.09,82,100,3.13,RU
192,palikir - national government center,6.9248,158.1611,302.62,79,100,1.54,FM
193,nar'yan-mar,67.6713,53.087,265.43,96,100,4.02,RU
194,garcia,25.8167,-100.5833,293.1,78,100,1.46,MX
195,aldama,22.9167,-98.0667,295.09,76,97,1.17,MX
196,bamboo flat,11.7,92.7167,301.2,83,100,2.06,IN
197,iskateley,67.6803,53.1512,265.38,96,100,4.02,RU
198,nemuro,43.3236,145.575,278.24,50,18,8.88,JP
199,los alamos,35.8881,-106.307,278.92,61,0,1.6,US
200,ambovombe,-25.1667,46.0833,296.21,75,69,4.15,MG
201,puerto madryn,-42.7692,-65.0385,284.71,30,52,14.78,AR
202,taraz,42.9,71.3667,275.38,87,0,3.0,KZ
203,huaihua,27.5494,109.9592,283.9,63,80,0.58,CN
204,san patricio,28.017,-97.5169,290.28,89,100,4.81,US
205,arraial do cabo,-22.9661,-42.0278,296.6,91,57,5.92,BR
206,naracoorte,-36.9579,140.7383,290.84,59,100,2.68,AU
207,belyy yar,53.6039,91.3903,276.09,81,0,4.0,RU
208,kudahuvadhoo,2.6708,72.8944,300.8,74,61,1.8,MV
209,pirai do sul,-24.5261,-49.9486,293.48,66,16,0.89,BR
210,forster,-32.1667,152.5167,296.69,71,65,7.21,AU
211,sanctuary point,-35.1114,150.629,295.55,70,99,2.78,AU
212,villa huidobro,-34.8383,-64.5869,283.31,67,0,3.22,AR
213,manta,-0.95,-80.7333,297.03,88,75,4.63,EC
214,karaton,-6.3424,106.1045,303.65,66,97,0.98,ID
215,east london,-33.0153,27.9116,287.67,94,75,1.54,ZA
216,cabedelo,-6.9811,-34.8339,299.52,80,81,4.4,BR
217,pangai,-19.8,-174.35,300.21,83,75,3.6,TO
218,tobelo,1.7284,128.0095,302.65,70,77,0.23,ID
219,mirny,62.5353,113.9611,266.06,92,99,3.13,RU
220,la passe,45.5549,-0.8967,288.28,88,100,4.41,FR
221,mount isa,-20.7333,139.5,312.02,13,0,7.72,AU
222,koysinceq,36.0821,44.6278,291.7,44,29,1.45,IQ
223,dzhetygara,52.1908,61.2006,277.58,76,100,8.31,KZ
224,vila velha,-20.3297,-40.2925,298.12,87,0,6.69,BR
225,coahuayana de hidalgo,18.7,-103.6583,298.76,83,10,1.32,MX
226,chardara,41.2547,67.9692,284.44,35,0,1.87,KZ
227,labytnangi,66.6572,66.4183,256.19,99,100,1.2,RU
228,gorontalo,0.5412,123.0595,305.19,60,52,1.61,ID
229,portland,45.5234,-122.6762,282.34,91,0,1.79,US
230,puerto baquerizo moreno,-0.9,-89.6,296.87,82,91,4.46,EC
231,spring creek,40.7266,-115.5859,275.54,32,85,1.89,US
232,gaiman,-43.2897,-65.4929,282.17,30,20,13.67,AR
233,challapata,-18.9,-66.7667,283.22,27,11,2.07,BO
234,roswell,34.0232,-84.3616,286.95,83,0,0.0,US
235,strezhevoy,60.7333,77.5889,263.13,90,100,2.24,RU
236,osilnica,45.5292,14.6989,286.8,97,100,3.18,HR
237,umm qasr,30.0405,47.9168,293.08,40,4,1.41,IQ
238,lesparre-medoc,45.3,-0.9333,288.72,93,100,2.41,FR
239,holualoa,19.6228,-155.9522,298.06,79,75,2.06,US
240,sur,22.5667,59.5289,299.97,40,25,1.42,OM
241,morropon,-5.1822,-79.9689,295.64,79,24,2.0,PE
242,pyapon,16.2833,95.6833,304.08,64,98,5.18,MM
243,machiques,10.0644,-72.545,298.9,84,100,1.94,VE
244,chiras,35.4167,65.9823,279.44,23,32,2.28,AF
245,nadi,-17.8,177.4167,304.15,66,100,4.12,FJ
246,rocky mountain house,52.3668,-114.9188,269.21,80,64,2.06,CA
247,fort bragg,35.139,-79.006,282.12,88,0,0.0,US
248,teguise,29.0605,-13.564,295.27,46,0,3.6,ES
249,miechow,50.3565,20.0279,282.81,85,68,7.86,PL
250,rouissat,31.9243,5.3502,286.19,62,0,2.06,DZ
251,hammerfest,70.6634,23.6821,272.4,93,75,0.0,NO
252,arar,30.9753,41.0381,291.16,39,75,2.06,SA
253,urengoy,65.9667,78.3667,253.7,99,25,3.08,RU
254,tefe,-3.3542,-64.7114,299.72,74,95,0.49,BR
255,arteche,12.2645,125.4048,301.17,87,100,3.32,PH
256,alofi,-19.0595,-169.9187,298.09,22,100,3.6,NU
257,taltal,-25.4,-70.4833,289.3,75,43,1.0,CL
258,santa cruz,-17.8,-63.1667,300.85,78,40,4.12,BO
259,qazvin,36.2797,50.0049,279.94,57,7,0.0,IR
260,geraldton,-28.7667,114.6,299.38,61,40,5.14,AU
261,san fernando de apure,7.8878,-67.4724,297.84,78,46,2.08,VE
262,djenne,13.9061,-4.5533,297.14,14,0,3.58,ML
263,meizhou,24.2977,116.1072,294.8,57,74,1.46,CN
264,sao joao do piaui,-8.3581,-42.2467,297.35,30,0,0.68,BR
265,sao joao da barra,-21.6403,-41.0511,296.68,92,68,2.68,BR
266,mtambile,-5.3833,39.7,300.32,79,3,0.6,TZ
267,santa elena de uairen,4.6167,-61.1333,293.88,68,52,1.75,VE
268,bokakhat,26.6333,93.6,298.51,57,44,2.36,IN
269,laem sing,12.4816,102.0738,306.7,75,81,6.25,TH
270,lesina,41.8594,15.3527,286.47,82,98,3.29,IT
271,kingston,17.997,-76.7936,301.68,81,20,1.54,JM
272,oamaru,-45.0784,170.9801,289.47,67,26,3.57,NZ
273,la'ie,21.6477,-157.9253,300.13,74,52,3.58,US
274,turpan,42.9333,89.1667,284.39,25,100,0.54,CN
275,songea,-10.6833,35.65,294.79,83,75,1.03,TZ
276,utrik,11.2278,169.8474,301.18,80,100,8.23,MH
277,kavaratti,10.5669,72.642,300.79,69,70,1.01,IN
278,lewistown,40.5992,-77.5714,283.82,43,0,2.57,US
279,port lincoln,-34.7333,135.8667,290.43,67,53,4.68,AU
280,luwuk,-0.9516,122.7875,304.52,63,80,1.31,ID
281,sinabang,2.4803,96.3801,298.59,86,100,1.79,ID
282,ed damer,17.5928,33.9592,302.17,44,51,2.69,SD
283,celestun,20.8667,-90.4,297.98,90,57,4.72,MX
284,port macquarie,-31.4333,152.9167,297.53,67,19,6.25,AU
285,kruisfontein,-34.0033,24.7314,287.95,70,29,4.39,ZA
286,mattanur,11.9167,75.5833,303.9,48,34,1.8,IN
287,rumoi,43.9344,141.6428,276.6,71,89,6.61,JP
288,buka,40.8108,69.1986,284.11,32,0,1.25,UZ
289,basoko,1.2391,23.616,294.46,98,100,2.78,CD
290,al bayda,32.7627,21.7551,286.63,85,15,4.21,LY
291,poronaysk,49.2167,143.1167,270.55,75,36,4.21,RU
292,lakatoro,-16.0999,167.4164,298.52,70,100,7.08,VU
293,los angeles,34.0522,-118.2437,291.6,51,0,2.06,US
294,mar del plata,-38.0023,-57.5575,286.53,57,0,5.36,AR
295,kokopo,-4.352,152.2633,301.91,67,45,3.57,PG
296,flying fish cove,-10.4217,105.6791,300.97,74,100,4.63,CX
297,hede,33.7681,120.2517,284.55,37,0,3.39,CN
298,yibin,28.7667,104.6238,285.89,78,100,1.45,CN
299,nuku'alofa,-21.1333,-175.2,296.34,94,75,8.23,TO
300,libreville,0.3925,9.4537,298.72,87,96,0.7,GA
301,mosjoen,65.836,13.1908,271.21,92,0,1.03,NO
302,bandundu,-3.3167,17.3667,295.3,95,76,0.27,CD
303,cacu,-18.5567,-51.1308,300.65,35,64,1.85,BR
304,douglas,41.3,-96.167,286.66,42,0,5.14,US
305,leava,-14.3,-178.1667,301.8,84,100,7.33,WF
306,chonchi,-42.6128,-73.8092,276.71,91,83,1.45,CL
307,hulyaypole,47.6653,36.2578,277.97,79,66,2.44,UA
308,acapulco de juarez,16.8634,-99.8901,302.05,79,0,3.09,MX
309,mersa matruh,31.3525,27.2453,295.26,60,40,5.14,EG
310,besiri,37.9184,41.2924,285.9,82,75,0.51,TR
311,hermanus,-34.4187,19.2345,288.72,78,66,7.14,ZA
312,nizhniy kuranakh,58.8353,125.4869,264.71,86,100,1.37,RU
313,cekerek,40.0731,35.4947,284.04,85,99,1.56,TR
314,corzuela,-26.9537,-60.9693,292.27,96,100,2.5,AR
315,hobyo,5.3505,48.5268,301.05,75,54,2.68,SO
316,beira,-19.8436,34.8389,299.2,94,75,6.17,MZ
317,mossel bay,-34.1831,22.146,286.11,77,16,5.91,ZA
318,masterton,-40.9597,175.6575,289.38,63,70,5.91,NZ
319,port saint john's,-31.6229,29.5448,290.11,73,97,1.92,ZA
320,madinat ash shamal,26.1293,51.2009,299.98,50,0,0.36,QA
321,amos,48.5669,-78.1162,273.52,98,100,3.45,CA
322,georgetown,5.4112,100.3354,304.11,74,20,3.09,MY
323,savanna-la-mar,18.219,-78.1332,301.12,88,9,1.43,JM
324,betio village,1.358,172.9211,300.17,82,99,8.41,KI
325,crane,31.3974,-102.3501,284.06,83,100,2.53,US
326,saint-philippe,-21.3585,55.7679,299.92,77,53,3.33,RE
327,charters towers,-20.1,146.2667,308.19,16,0,8.59,AU
328,nouadhibou,20.931,-17.0347,293.14,56,24,5.14,MR
329,nishinoomote,30.7333,131.0,289.46,63,40,4.12,JP
330,shaoxing,30.011,120.5715,288.12,38,9,1.66,CN
331,washington,47.5001,-120.5015,278.47,69,51,2.02,US
